name,articles_found,vader_compound,finbert_compound,combined_score,sentiment_label,confidence
RELIANCE,10,0.0457,-0.1113,-0.0642,neutral,0.0642
TCS,10,0.5622,0.3181,0.3914,positive,0.3914
HDFCBANK,10,0.4292,-0.1388,0.0316,neutral,0.0316
INFY,10,0.4497,0.2643,0.3199,positive,0.3199
ICICIBANK,10,0.6031,-0.0087,0.1748,positive,0.1748
HINDUNILVR,7,0.4063,0.215,0.2724,positive,0.2724
ITC,5,-0.0121,-0.1259,-0.0918,neutral,0.0918
SBIN,10,0.041,0.0108,0.0198,neutral,0.0198
BAJFINANCE,10,0.2815,0.1595,0.1961,positive,0.1961
ASIANPAINT,10,0.1346,-0.0228,0.0244,neutral,0.0244
APPLE,10,0.1337,-0.1852,-0.0895,neutral,0.0895
MICROSOFT,8,0.0507,-0.0464,-0.0172,neutral,0.0172
GOOGLE,10,0.4104,0.3533,0.3704,positive,0.3704
AMAZON,6,0.2467,-0.4459,-0.2381,negative,0.2381
NVIDIA,8,-0.0361,-0.036,-0.036,neutral,0.036
TESLA,10,0.2545,0.3792,0.3418,positive,0.3418
META,9,0.1808,-0.2106,-0.0932,neutral,0.0932
BERKSHIRE,10,-0.0011,-0.1716,-0.1205,neutral,0.1205
NESTLE,10,0.4622,0.0819,0.196,positive,0.196
LVMH,9,0.179,0.1673,0.1708,positive,0.1708
ASML,9,0.1763,0.2899,0.2558,positive,0.2558
SAP,10,0.2322,-0.0797,0.0139,neutral,0.0139
SAMSUNG,9,0.1808,-0.0554,0.0155,neutral,0.0155
ALIBABA,10,0.3285,0.0521,0.135,neutral,0.135
SONY,7,0.5195,-0.0265,0.1373,neutral,0.1373
TSMC,10,0.2631,-0.1036,0.0064,neutral,0.0064
